person,commits,non_merges,merges,identities,rank,share_pct,cumulative_pct,gap_to_next
Tianyi Cui,6211,2931,3280,2,1,36.17988000233005,36.17988000233005,4255
imccyu,1956,1481,475,3,2,11.393953515465718,47.57383351779577,60
Yichen Jiang,1896,1009,887,2,3,11.044445738917691,58.61827925671346,866
Chinesezjc,1030,676,354,2,4,5.999883497407818,64.61816275412127,129
_Kerman,901,598,303,1,5,5.248441777829557,69.86660453195084,40
creatixchu,861,476,385,2,6,5.015436593464204,74.88204112541504,84
Turtle,777,561,216,5,7,4.526125706296965,79.408166831712,117
pku-xht,660,457,203,4,8,3.84458554202831,83.25275237374031,165
Hypatia May,495,296,199,2,9,2.8834391565212325,86.13619153026156,101
Dudu-0223,394,312,82,2,10,2.2951010659987183,88.43129259626026,5
ZiyaZhang,389,231,158,5,11,2.2659754179530496,90.69726801421332,87
kingwl,302,185,117,2,12,1.7591891419584085,92.45645715617172,26
Huanqi Cao,276,202,74,1,13,1.6077357721209298,94.06419292829266,87
07akioni,189,115,74,1,14,1.100949496126289,95.16514242441895,4
NI0317,185,111,74,3,15,1.0776489776897535,96.2427914021087,38
fz,147,89,58,1,16,0.8562940525426691,97.09908545465137,42
Yif,105,92,13,1,17,0.6116386089590493,97.71072406361041,18
lsdsjy,87,58,29,2,18,0.5067862759946409,98.21751033960506,37
j-xiang,50,31,19,1,19,0.29125648045669017,98.50876682006174,6
xjt,44,22,22,1,20,0.25630570280188736,98.76507252286363,12
lintianle,32,23,9,2,21,0.1864041474922817,98.95147667035592,2
Yudong Han,30,24,6,4,22,0.1747538882740141,99.12623055862993,1
mektpoy,29,17,12,2,23,0.1689287586648803,99.29515931729482,13
Yifffan,16,0,16,1,24,0.09320207374614085,99.38836139104095,0
yx.zhang,16,15,1,1,25,0.09320207374614085,99.48156346478709,3
Jiaying Ding,13,11,2,2,26,0.07572668491873943,99.55729014970584,0
Ruilin Geng,13,5,8,3,27,0.07572668491873943,99.63301683462457,1
GeeeekExplorer,12,6,6,1,28,0.06990155530960564,99.70291838993418,0
Kaige-Gao,12,7,5,2,29,0.06990155530960564,99.77281994524378,1
ihsiang,11,5,6,2,30,0.06407642570047184,99.83689637094425,1
Magolor,10,8,2,2,31,0.05825129609133803,99.89514766703559,3
fengsy,7,7,0,1,32,0.04077590726393662,99.93592357429952,5
Jinhua Zhu,2,1,1,1,33,0.011650259218267607,99.9475738335178,0
Shigma,2,2,0,1,34,0.011650259218267607,99.95922409273606,0
ericcaiwx-star,2,2,0,1,35,0.011650259218267607,99.97087435195434,0
winewill,2,2,0,2,36,0.011650259218267607,99.9825246111726,1
Anshuo,1,0,1,1,37,0.005825129609133803,99.98834974078173,0
jy.ding,1,1,0,1,38,0.005825129609133803,99.99417487039086,0
tn.shen,1,1,0,1,39,0.005825129609133803,100.0,
